"id","name","enabled","provider_reference","sample_xmltv_id","epg_name","notes"
"a01a","ENLACE","True","manual-user","ENLACE","ENLACE","renombre manual confirmado por usuario"
"a00y","ESPN 2 HD","True","directv.com.co","ESPN 2 Colombia (ESP2HD)(1622)","ESPN 2 Colombia","si usas DIRECTV"
"a00z","ESPN 3 HD","True","directv.com.co","ESPN 3 Andina HD(ESP3HD)(1623)","ESPN 3 Andina HD","si usas DIRECTV"
"a010","ESPN 4 HD","True","directv.com.co","ESPN4 HD (ESP4HD)(1624)","ESPN4 HD","si usas DIRECTV"
"a011","ESPN 5","True","movistar.co","ESPN 5","ESPN 5","match fuerte en Movistar"
"a012","ESPN 6","True","movistar.co","ESPN 6 HD","ESPN 6 HD","preferido en Movistar"
"a013","ESPN 7 HD","True","movistar.co","ESPN 7 HD","ESPN 7 HD","match fuerte en Movistar"
"a014","ESPN HD","True","claro.com.co","ESPN HD","ESPN HD","match fuerte en Claro"
"a015","ESPN Premium (HD)(ESPHD)","True","manual-user","ESPN Premium (HD)(ESPHD)","ESPN Premium (HD)(ESPHD)","renombre manual confirmado por usuario"
"a01c","Food Network","True","movistar.co","Food Network","Food Network","match fuerte"
"a01b","FX","True","movistar.co","FX","FX","match fuerte"
"a01d","HBO 2","True","movistar.co","HBO 2","HBO 2","match fuerte"
"a01e","HBO Family HD","True","directv.com.co","HBO Family HD(HBOFHD)(534)","HBO Family HD","match fuerte"
"a01f","HBO HD","True","directv.com.co","HBO HD(HBOHD)(524)","HBO HD","match fuerte"
"a01g","HBO Mundi","True","directv.com.co","HBO Mundi(HBOMUN)(540)","HBO Mundi","match fuerte"
"a01i","HBO Plus","True","directv.com.co","HBO Plus (Este)(HBOP)(526)","HBO Plus","match razonable; puede variar entre Este/HD"
"a01h","HBO Pop","True","directv.com.co","HBO Pop(HBOPOP)(541)","HBO Pop","preferido sobre HBO POP HD"
"a01j","HBO Signature","True","directv.com.co","HBO Signature(HBOS)(528)","HBO Signature","match fuerte"
"a01k","HBO Xtreme","True","directv.com.co","HBO Xtreme(HBOXTM)(542)","HBO Xtreme","preferido sobre HBO XTREME HD"
"a01l","HGTV","True","movistar.co","HGTV","HGTV","match fuerte"
"a01n","History Channel HD","True","claro.com.co","HISTORY CHANNEL HD","History Channel HD","si usas Claro"
"a01m","HOLA TV HD","True","directv.com.co","Hola TV HD(HOLAHD)(221)","Hola TV HD","match fuerte"
"a01p","Investigation Discovery","False","directv.com.co","Investigation Discovery(ID)(223)","Investigation Discovery","preferido sobre ID"
"a01q","Kanal D Drama","False","manual-user","Kanal D Drama","Kanal D Drama","nombre confirmado por usuario"
"a01r","LA KALLE","True","manual-user","LA KALLE","LA KALLE","nombre confirmado por usuario"
"a01t","Latina","True","manual-user","Latina","Latina","nombre confirmado por usuario"
"a01u","Lifetime","True","directv.com.co","Lifetime(LIFE)(228)","Lifetime","match fuerte"
"a01v","Love Nature","True","manual-user","Love Nature","Love Nature","nombre confirmado por usuario"
"a01w","MTV HD","True","directv.com.co","MTV HD(MTVHD)(264)","MTV HD","match fuerte"
"a01x","National Geographic HD","True","directv.com.co","National Geographic HD(NGEOHD)(1730)","National Geographic HD","preferido sobre Nat Geo HD"
"a017","Network(EWTN)","True","manual-user","Network(EWTN)","Network(EWTN)","renombre manual confirmado por usuario"
"a01y","Nick Jr","False","movistar.co","Nick Jr","Nick Jr","match fuerte"
"a01z","Nickelodeon HD","True","directv.com.co","Nickelodeon HD(NICKHD)(308)","Nickelodeon HD","match fuerte"
"a020","Pasiones HD","True","directv.com.co","Pasiones HD(PASHD)(225)","Pasiones HD","match fuerte"
"a024","Radio Uno","True","manual-user","Radio Uno","Radio Uno","nombre confirmado por usuario"
"a00j","RCN","True","directv.com.co","RCN (COL)(RCN)(130)","RCN","match fuerte"
"a021","RCN HD","True","directv.com.co","RCN HD (COL)(RCNHD)(130)","RCN HD","match fuerte"
"a022","RCN HD 2","True","manual-user","RCN HD 2","RCN HD 2","nombre confirmado por usuario"
"a023","RCN Novelas","True","movistar.co","RCN Novelas","RCN Novelas","match fuerte"
"a026","Señal Colombia","True","directv.com.co","Señal Colombia (COL)(SCOL)(137)","Señal Colombia","acento requerido"
"a027","Sony","True","movistar.co","Sony","Sony","match fuerte en Movistar y Claro"
"a028","Sony Movies","True","directv.com.co","Sony Movies(SOMV)(506)","Sony Movies","match fuerte"
"a029","Space","True","movistar.co","Space","Space","match fuerte"
"a025","STAR Channel","True","directv.com.co","STAR Channel (COL)(STAR)(202)","STAR Channel","match fuerte"
"a02a","Studio Universal","True","directv.com.co","Studio Universal(STUN)(508)","Studio Universal","match fuerte"
"a02g","Teleantioquia","True","directv.com.co","Teleantioquia (COL)(TANT)(140)","Teleantioquia","match fuerte"
"a02h","Telecafé","True","directv.com.co","Telecafé (COL)(TCAFE)(144)","Telecafé","acento requerido"
"a02i","Telecaribe","True","directv.com.co","Telecaribe (COL)(TLCR)(142)","Telecaribe","match fuerte"
"a02j","Telefe","True","manual-user","Telefe","Telefe","nombre confirmado por usuario"
"a02k","Telemundo","True","movistar.co","Telemundo","Telemundo","match fuerte"
"a02l","Telepacífico","True","directv.com.co","Telepacífico (COL)(TPAC)(141)","Telepacífico","acento requerido"
"a02b","TLC","True","movistar.co","TLC","TLC","match fuerte"
"a02m","TLNovelas","True","directv.com.co","TLNovelas(NVLA)(227)","TLNovelas","match fuerte"
"a02c","TNT","True","movistar.co","TNT","TNT","match fuerte"
"a02d","TNT Novelas","True","movistar.co","TNT Novelas","TNT Novelas","preferido sobre TNT Novelas HD"
"a02e","TNT Series HD","True","directv.com.co","TNT Series HD(TNTSHD)(213)","TNT Series HD","match fuerte"
"a02n","Tooncast","True","manual-user","Tooncast","Tooncast","nombre confirmado por usuario"
"a02f","TVE","False","claro.com.co","TVE","TVE","match fuerte"
"a02r","Universal Cinema SD","True","directv.com.co","Universal Cinema(UNCI)(572)","Universal Cinema","equivalencia razonable; el proveedor suele omitir SD"
"a02s","Universal Comedy SD","True","directv.com.co","Universal Comedy(UNCY)(573)","Universal Comedy","equivalencia razonable; el proveedor suele omitir SD"
"a02t","Universal Premiere SD","True","manual-user","Universal Premiere SD","Universal Premiere SD","nombre confirmado por usuario"
"a02q","Universal TV","True","movistar.co","Universal TV","Universal TV","mejor para feed Movistar"
"a02o","Universal TV HD","True","directv.com.co","Universal TV HD (Norte)(UNIHD)(218)","Universal TV HD","match fuerte"
"a02p","USA Network","False","manual-user","USA Network","USA Network","nombre confirmado por usuario"
"a02u","Warner Channel","True","directv.com.co","Warner Channel(WTV)(206)","Warner Channel","match fuerte"
"a02v","Win Sports","True","winsportsonline.com","Win Sports","Win Sports","match fuerte"
"a02x","Win Sports +","True","winsportsonline.com","Win Sports +","Win Sports +","match fuerte"
"a02w","Zoom","True","claro.com.co","ZOOM TV","ZOOM TV","equivalencia razonable si usas Claro"
