astra_name,epg_name,provider_reference,sample_xmltv_id,notes
Hola TV HD,Hola TV HD,directv.com.co,Hola TV HD(HOLAHD)(221),match fuerte
Investigation Discovery,Investigation Discovery,directv.com.co,Investigation Discovery(ID)(223),preferido sobre ID
A&E HD,A&E HD,directv.com.co,A&E HD(A&EHD)(207),match fuerte
AMC HD,AMC HD,directv.com.co,AMC HD(AMCHD)(210),match fuerte
AXN,AXN,movistar.co,AXN,match fuerte
CNN Español,CNN EN ESPANOL,claro.com.co,CNN EN ESPANOL,si usas Claro; en otros puede variar el acento
Comedy Central HD,COMEDY CENTRAL,claro.com.co,COMEDY CENTRAL,si usas Claro; revisar HD según proveedor
Disney Channel HD,Disney HD,directv.com.co,Disney HD(DISNHD)(1312),preferido si tu feed usa variante HD
E! Entertainment TV,E! Entertainment TV,movistar.co,E! Entertainment TV,match fuerte en Movistar
Ecuavisa,Ecuavisa Internacional (ECUA),manual-user,Ecuavisa Internacional (ECUA),renombre manual confirmado por usuario
El Gourmet,El Gourmet HD(GOURHD),manual-user,El Gourmet HD(GOURHD),renombre manual confirmado por usuario
Enlace,ENLACE,manual-user,ENLACE,renombre manual confirmado por usuario
ESPN HD,ESPN HD,claro.com.co,ESPN HD,match fuerte en Claro
ESPN 2 HD,ESPN 2 Colombia,directv.com.co,ESPN 2 Colombia (ESP2HD)(1622),si usas DIRECTV
ESPN 3 HD,ESPN 3 Andina HD,directv.com.co,ESPN 3 Andina HD(ESP3HD)(1623),si usas DIRECTV
ESPN 4 HD,ESPN4 HD,directv.com.co,ESPN4 HD (ESP4HD)(1624),si usas DIRECTV
ESPN 5,ESPN 5,movistar.co,ESPN 5,match fuerte en Movistar
ESPN 6,ESPN 6 HD,movistar.co,ESPN 6 HD,preferido en Movistar
ESPN 7 HD,ESPN 7 HD,movistar.co,ESPN 7 HD,match fuerte en Movistar
ESPN Premium HD,ESPN Premium (HD)(ESPHD),manual-user,ESPN Premium (HD)(ESPHD),renombre manual confirmado por usuario
EWTN,Network(EWTN),manual-user,Network(EWTN),renombre manual confirmado por usuario
Food Network,Food Network,movistar.co,Food Network,match fuerte
FX,FX,movistar.co,FX,match fuerte
HBO Mundi,HBO Mundi,directv.com.co,HBO Mundi(HBOMUN)(540),match fuerte
HBO Plus,HBO Plus,directv.com.co,HBO Plus (Este)(HBOP)(526),match razonable; puede variar entre Este/HD
HGTV,HGTV,movistar.co,HGTV,match fuerte
Kanal D Drama,Kanal D Drama,manual-user,Kanal D Drama,nombre confirmado por usuario
LA KALLE,LA KALLE,manual-user,LA KALLE,nombre confirmado por usuario
Las Estrellas HD,CANAL DE LAS ESTRELLAS,manual-user,CANAL DE LAS ESTRELLAS,renombre manual confirmado por usuario
Latina,Latina,manual-user,Latina,nombre confirmado por usuario
Love Nature,Love Nature,manual-user,Love Nature,nombre confirmado por usuario
Radio Uno,Radio Uno,manual-user,Radio Uno,nombre confirmado por usuario
Pasiones HD,Pasiones HD,directv.com.co,Pasiones HD(PASHD)(225),match fuerte
RCN Novelas,RCN Novelas,movistar.co,RCN Novelas,match fuerte
RCN HD 2,RCN HD 2,manual-user,RCN HD 2,nombre confirmado por usuario
Sony,Sony,movistar.co,Sony,match fuerte en Movistar y Claro
Sony Movies,Sony Movies,directv.com.co,Sony Movies(SOMV)(506),match fuerte
Space,Space,movistar.co,Space,match fuerte
Telefe,Telefe,manual-user,Telefe,nombre confirmado por usuario
Telemundo,Telemundo,movistar.co,Telemundo,match fuerte
TLC,TLC,movistar.co,TLC,match fuerte
TLNovelas,TLNovelas,directv.com.co,TLNovelas(NVLA)(227),match fuerte
Tooncast,Tooncast,manual-user,Tooncast,nombre confirmado por usuario
TVE,TVE,claro.com.co,TVE,match fuerte
Universal Premiere SD,Universal Premiere SD,manual-user,Universal Premiere SD,nombre confirmado por usuario
USA Network,USA Network,manual-user,USA Network,nombre confirmado por usuario
STAR Channel,STAR Channel,directv.com.co,STAR Channel (COL)(STAR)(202),match fuerte
Warner Channel,Warner Channel,directv.com.co,Warner Channel(WTV)(206),match fuerte
Zoom,ZOOM TV,claro.com.co,ZOOM TV,equivalencia razonable si usas Claro
